batch_size,lattice_n,iteration,time_mcmc_s,time_phi_s,time_energy_s,time_grad_s,time_opt_s,ram_start_MB,ram_end_MB,gpu_mem_MB,gpu_util_%,energy_J_per_sample
32,3,1,0.07340145111083984,10.355234146118164,8.531880140304565,13.39519214630127,1.2750451564788818,1565.396992,1565.396992,322.0,0.0,0.5564385579004884
32,3,2,0.07474637031555176,0.08702325820922852,0.4702615737915039,0.008337974548339844,0.21182703971862793,2023.006208,2023.006208,322.0,8.0,0.0307482489446799
32,3,3,0.07335829734802246,0.08188891410827637,0.4635739326477051,0.008185386657714844,0.21332550048828125,2029.69088,2029.69088,322.0,7.0,0.03027234358092149
32,3,4,0.07389163970947266,0.08148479461669922,0.488971471786499,0.008123397827148438,0.21380853652954102,2032.050176,2032.050176,322.0,3.0,0.03204291176050901
32,3,5,0.07401323318481445,0.08108401298522949,0.4981651306152344,0.008128166198730469,0.2144176959991455,2033.229824,2033.229824,322.0,3.0,0.032676519036293025
32,3,6,0.07394146919250488,0.08193111419677734,0.46871018409729004,0.007717609405517578,0.2125844955444336,2034.016256,2034.016256,322.0,3.0,0.030720046649376553
32,3,7,0.07336068153381348,0.08125972747802734,0.4958477020263672,0.008214235305786133,0.21247649192810059,2035.195904,2035.195904,322.0,3.0,0.032545170525709786
32,3,8,0.0733952522277832,0.08161354064941406,0.48897814750671387,0.007960319519042969,0.21244430541992188,2036.375552,2036.375552,322.0,7.0,0.03205862979590893
32,3,9,0.07335543632507324,0.08162784576416016,0.48099231719970703,0.008133411407470703,0.22044062614440918,2036.768768,2036.768768,322.0,7.0,0.0315300484597683
32,3,10,0.07366681098937988,0.08188462257385254,0.476973295211792,0.007908821105957031,0.2142014503479004,2037.5552,2037.5552,322.0,8.0,0.031251687780022616
32,3,11,0.07334399223327637,0.08136749267578125,0.47591328620910645,0.0079193115234375,0.21169257164001465,2037.948416,2037.948416,322.0,8.0,0.03123676683753729
32,3,12,0.0740671157836914,0.08169984817504883,0.46154069900512695,0.007979393005371094,0.2138671875,2038.341632,2038.341632,322.0,3.0,0.03032707009712855
32,3,13,0.07400774955749512,0.08139944076538086,0.4615442752838135,0.00793147087097168,0.21397709846496582,2039.128064,2039.128064,322.0,3.0,0.030284035312632723
32,3,14,0.07409214973449707,0.08104562759399414,0.4651520252227783,0.007603168487548828,0.2126922607421875,2039.914496,2039.914496,322.0,5.0,0.03047714831928412
32,3,15,0.07402157783508301,0.08106827735900879,0.46178317070007324,0.007923126220703125,0.21401429176330566,2040.307712,2040.307712,322.0,7.0,0.030256418163577714
32,3,16,0.07412004470825195,0.08132290840148926,0.47008824348449707,0.007783651351928711,0.2123112678527832,2040.307712,2040.307712,322.0,8.0,0.030829953968524934
32,3,17,0.07404422760009766,0.08138632774353027,0.48688292503356934,0.007965803146362305,0.21448516845703125,2040.700928,2040.700928,322.0,7.0,0.03197705044100682
32,3,18,0.07337141036987305,0.08075308799743652,0.48895931243896484,0.0076639652252197266,0.21541094779968262,2041.094144,2041.094144,322.0,3.0,0.03209814153114955
32,3,19,0.07521748542785645,0.08180117607116699,0.4840095043182373,0.008216619491577148,0.21271038055419922,2041.48736,2041.48736,322.0,3.0,0.031753040189544356
32,3,20,0.07333612442016602,0.08123207092285156,0.48572516441345215,0.007975578308105469,0.2139415740966797,2041.880576,2041.880576,322.0,3.0,0.031895952463150024
32,3,21,0.07396841049194336,0.08182644844055176,0.48850584030151367,0.00800633430480957,0.21263694763183594,2042.273792,2042.273792,322.0,3.0,0.0319666009247303
32,3,22,0.07403445243835449,0.0816812515258789,0.4949371814727783,0.007809877395629883,0.21405911445617676,2042.667008,2042.667008,322.0,7.0,0.032454474555949374
32,3,23,0.07403373718261719,0.08105707168579102,0.4961283206939697,0.007987737655639648,0.21265316009521484,2043.45344,2043.45344,322.0,7.0,0.03260493307560682
32,3,24,0.07333564758300781,0.08115839958190918,0.48629140853881836,0.007744789123535156,0.21422052383422852,2043.846656,2043.846656,322.0,8.0,0.03191793922086557
32,3,25,0.07398843765258789,0.08103394508361816,0.47535133361816406,0.008127212524414062,0.21221470832824707,2044.239872,2044.239872,322.0,7.0,0.031274156490961706
32,3,26,0.0733957290649414,0.08167910575866699,0.4656670093536377,0.007525205612182617,0.2142174243927002,2045.026304,2045.026304,322.0,3.0,0.030593352374931177
32,3,27,0.07397007942199707,0.08121085166931152,0.4810526371002197,0.00771331787109375,0.2142503261566162,2045.026304,2045.026304,322.0,3.0,0.031574090274671715
32,3,28,0.07535934448242188,0.08299374580383301,0.4831972122192383,0.0080413818359375,0.21389198303222656,2045.41952,2045.41952,322.0,3.0,0.03175511679053307
32,3,29,0.07338190078735352,0.08105826377868652,0.4823756217956543,0.007814645767211914,0.21229219436645508,2045.812736,2045.812736,322.0,3.0,0.0316056527197361
32,3,30,0.07389259338378906,0.08089590072631836,0.4908878803253174,0.00778508186340332,0.21397638320922852,2045.812736,2045.812736,322.0,7.0,0.032107135422527786
64,3,1,0.07300972938537598,6.508647680282593,6.560448408126831,11.881145477294922,0.450653076171875,2135.932928,2135.932928,330.0,1.0,0.215333051395913
64,3,2,0.07499146461486816,0.1585681438446045,0.5587301254272461,0.008808374404907227,0.21356463432312012,2574.483456,2574.483456,330.0,5.0,0.018365342820684118
64,3,3,0.07325005531311035,0.15809321403503418,0.5646107196807861,0.00808572769165039,0.21396398544311523,2578.0224,2578.0224,330.0,7.0,0.018602746941149235
64,3,4,0.07380509376525879,0.15859341621398926,0.5467393398284912,0.008061885833740234,0.2121717929840088,2579.595264,2579.595264,330.0,9.0,0.0179683605954051
64,3,5,0.07389354705810547,0.1600346565246582,0.5342299938201904,0.008114099502563477,0.21418976783752441,2580.381696,2580.381696,330.0,9.0,0.01754889880741636
64,3,6,0.07387161254882812,0.15850329399108887,0.5424060821533203,0.007997512817382812,0.21186399459838867,2580.381696,2580.381696,330.0,9.0,0.01785137517253558
64,3,7,0.07384514808654785,0.15706205368041992,0.5723562240600586,0.008026599884033203,0.21412301063537598,2580.774912,2580.774912,330.0,11.0,0.018828134953975676
64,3,8,0.07389378547668457,0.16214203834533691,0.559927225112915,0.008819103240966797,0.21454620361328125,2581.168128,2581.168128,330.0,13.0,0.018390109799802306
64,3,9,0.0738368034362793,0.15787935256958008,0.5650746822357178,0.008295536041259766,0.21213459968566895,2581.561344,2581.561344,330.0,14.0,0.01857388708119591
64,3,10,0.0732109546661377,0.1587209701538086,0.5578436851501465,0.008334636688232422,0.21337080001831055,2582.347776,2582.347776,330.0,14.0,0.018327489405870437
64,3,11,0.07375979423522949,0.15864992141723633,0.5627832412719727,0.007884979248046875,0.21225214004516602,2582.740992,2582.740992,330.0,13.0,0.018466325104236604
64,3,12,0.07332038879394531,0.1581103801727295,0.5721170902252197,0.008471488952636719,0.2143857479095459,2583.134208,2583.134208,330.0,13.0,0.01880238978813092
64,3,13,0.07373666763305664,0.15846562385559082,0.5595870018005371,0.0088348388671875,0.2122058868408203,2583.92064,2583.92064,330.0,2.0,0.01839350816855828
64,3,14,0.07317256927490234,0.15697026252746582,0.570429801940918,0.007714748382568359,0.21223974227905273,2585.100288,2585.100288,330.0,4.0,0.0187499087502559
64,3,15,0.0732121467590332,0.15775513648986816,0.5634555816650391,0.00786280632019043,0.21224379539489746,2585.100288,2585.100288,330.0,5.0,0.018541210234165193
64,3,16,0.07327699661254883,0.15777015686035156,0.5623812675476074,0.007755279541015625,0.2129347324371338,2585.100288,2585.100288,330.0,5.0,0.018479496963322167
64,3,17,0.07367157936096191,0.15796542167663574,0.5514509677886963,0.007894039154052734,0.2120532989501953,2585.100288,2585.100288,330.0,5.0,0.01810884558285276
64,3,18,0.0733637809753418,0.15869879722595215,0.5407536029815674,0.00785517692565918,0.2122325897216797,2585.493504,2585.493504,330.0,5.0,0.017782907548050085
64,3,19,0.07336139678955078,0.1594069004058838,0.5559923648834229,0.008243799209594727,0.21231532096862793,2585.493504,2585.493504,330.0,5.0,0.018281144789109628
64,3,20,0.0732731819152832,0.15877413749694824,0.5442380905151367,0.008035421371459961,0.21233892440795898,2586.279936,2586.279936,330.0,5.0,0.01789466179907322
64,3,21,0.07352828979492188,0.15704870223999023,0.540888786315918,0.007975101470947266,0.21323370933532715,2587.459584,2587.459584,330.0,5.0,0.0177845359792312
64,3,22,0.07367062568664551,0.1582334041595459,0.5531888008117676,0.007894754409790039,0.21256327629089355,2587.8528,2587.8528,330.0,5.0,0.018200487785041335
64,3,23,0.07513594627380371,0.15922904014587402,0.5572500228881836,0.008606910705566406,0.21303391456604004,2588.246016,2588.246016,330.0,5.0,0.018328301534056665
64,3,24,0.07377743721008301,0.15920686721801758,0.5426127910614014,0.007892370223999023,0.21341991424560547,2588.246016,2588.246016,330.0,5.0,0.017832743289570015
64,3,25,0.07369279861450195,0.1586911678314209,0.5634622573852539,0.007994890213012695,0.21303033828735352,2588.246016,2588.246016,330.0,5.0,0.018515017613768576
64,3,26,0.07366800308227539,0.1576995849609375,0.5613338947296143,0.007767915725708008,0.2119607925415039,2588.639232,2588.639232,330.0,5.0,0.01848893515765667
64,3,27,0.07337236404418945,0.1586451530456543,0.5557959079742432,0.007864952087402344,0.21331286430358887,2589.032448,2589.032448,330.0,5.0,0.018289159096777436
64,3,28,0.07373738288879395,0.1575016975402832,0.5677244663238525,0.007930755615234375,0.2131364345550537,2589.032448,2589.032448,330.0,5.0,0.018658028033872447
64,3,29,0.07377481460571289,0.1591501235961914,0.5443968772888184,0.007942438125610352,0.21315217018127441,2589.425664,2589.425664,330.0,8.0,0.017902718141674996
64,3,30,0.0737447738647461,0.15781068801879883,0.5377452373504639,0.007978677749633789,0.21354293823242188,2589.425664,2589.425664,330.0,8.0,0.017681175434341036
128,3,1,0.07383060455322266,6.691828012466431,6.754087448120117,13.813585996627808,0.44828128814697266,2637.156352,2637.156352,460.0,0.0,0.11362345029910405
128,3,2,0.07485342025756836,0.31896352767944336,0.7008211612701416,0.009529590606689453,0.21343612670898438,3071.512576,3071.512576,460.0,9.0,0.011762480167672038
128,3,3,0.07356834411621094,0.3170900344848633,0.7081680297851562,0.008657455444335938,0.21232271194458008,3075.05152,3075.05152,460.0,10.0,0.011716123680273692
128,3,4,0.07863473892211914,0.316650390625,0.6973996162414551,0.0093231201171875,0.21451902389526367,3076.624384,3076.624384,460.0,4.0,0.011443528598795334
128,3,5,0.07406210899353027,0.3104989528656006,0.6940968036651611,0.008869409561157227,0.21324563026428223,3077.410816,3077.410816,460.0,9.0,0.01155381971100966
128,3,6,0.07357358932495117,0.3117256164550781,0.6905579566955566,0.008575201034545898,0.21188783645629883,3078.197248,3078.197248,460.0,14.0,0.011593820694833994
128,3,7,0.07392120361328125,0.31275129318237305,0.7026417255401611,0.008407115936279297,0.2119452953338623,3079.770112,3079.770112,460.0,5.0,0.011811334214483698
128,3,8,0.07353687286376953,0.31406426429748535,0.7084815502166748,0.008218526840209961,0.2122175693511963,3079.770112,3079.770112,460.0,9.0,0.011903966046869753
128,3,9,0.07355117797851562,0.3132290840148926,0.7063429355621338,0.008313417434692383,0.21200084686279297,3079.770112,3079.770112,460.0,20.0,0.011873551169410348
128,3,10,0.07403111457824707,0.3143134117126465,0.7146623134613037,0.008593082427978516,0.2133030891418457,3080.556544,3080.556544,460.0,9.0,0.012018982344617447
128,3,11,0.07349157333374023,0.3145749568939209,0.7005195617675781,0.008097171783447266,0.21323513984680176,3081.342976,3081.342976,460.0,10.0,0.011777485132217408
128,3,12,0.07353711128234863,0.31586170196533203,0.6987106800079346,0.00861978530883789,0.21388697624206543,3081.736192,3081.736192,460.0,4.0,0.01171796036263307
128,3,13,0.0736687183380127,0.3171813488006592,0.6993465423583984,0.00828242301940918,0.21217989921569824,3082.129408,3082.129408,460.0,9.0,0.011746836453676223
128,3,14,0.07385540008544922,0.31414318084716797,0.698615550994873,0.008237123489379883,0.21219372749328613,3082.129408,3082.129408,460.0,19.0,0.011729100149124861
128,3,15,0.07398223876953125,0.31397151947021484,0.707834005355835,0.008666038513183594,0.21331143379211426,3082.522624,3082.522624,460.0,10.0,0.01150783254019916
128,3,16,0.07389616966247559,0.3166170120239258,0.7100613117218018,0.008364200592041016,0.2122941017150879,3083.702272,3083.702272,460.0,10.0,0.011693822227418422
128,3,17,0.07355880737304688,0.31667256355285645,0.7236065864562988,0.01013803482055664,0.21309947967529297,3083.702272,3083.702272,460.0,4.0,0.011898052049179873
128,3,18,0.07344293594360352,0.31773829460144043,0.7218084335327148,0.008686065673828125,0.21209216117858887,3084.488704,3084.488704,460.0,9.0,0.012114727484683197
128,3,19,0.07348918914794922,0.31543612480163574,0.6899213790893555,0.008131265640258789,0.21221303939819336,3085.275136,3085.275136,460.0,18.0,0.011507673002779484
128,3,20,0.0735311508178711,0.31156420707702637,0.6898002624511719,0.008531808853149414,0.21337342262268066,3085.275136,3085.275136,460.0,8.0,0.011484096556901932
128,3,21,0.074005126953125,0.31160664558410645,0.6928691864013672,0.00915670394897461,0.2125253677368164,3085.668352,3085.668352,460.0,9.0,0.011634428421656292
128,3,22,0.0734555721282959,0.3145287036895752,0.6888628005981445,0.008173465728759766,0.21339774131774902,3086.061568,3086.061568,460.0,20.0,0.011574330180883408
128,3,23,0.07387280464172363,0.31600141525268555,0.7114498615264893,0.008602619171142578,0.21211504936218262,3086.454784,3086.454784,460.0,9.0,0.011622200472280382
128,3,24,0.07350754737854004,0.3118174076080322,0.7111151218414307,0.008677005767822266,0.2121293544769287,3086.848,3086.848,460.0,9.0,0.011796362828463315
128,3,25,0.07363724708557129,0.3195207118988037,0.7120206356048584,0.008899450302124023,0.21305537223815918,3087.634432,3087.634432,460.0,3.0,0.01175946580991149
128,3,26,0.07364869117736816,0.3172450065612793,0.7246413230895996,0.008542060852050781,0.21236944198608398,3087.634432,3087.634432,460.0,10.0,0.01191884009540081
128,3,27,0.07395267486572266,0.3168175220489502,0.7102797031402588,0.008727788925170898,0.21303868293762207,3087.634432,3087.634432,460.0,18.0,0.011708516981452703
128,3,28,0.07388997077941895,0.3116495609283447,0.6850144863128662,0.008244752883911133,0.2120954990386963,3087.634432,3087.634432,460.0,8.0,0.011390149726842842
