batch_size,lattice_n,iteration,time_mcmc_s,time_phi_s,time_energy_s,time_grad_s,time_opt_s,ram_start_MB,ram_end_MB,gpu_mem_MB,gpu_util_%,energy_J_per_sample
32,3,1,0.04654574394226074,6.548541784286499,5.3722450733184814,11.621776580810547,1.411200761795044,1298.685952,1298.685952,371.0,0.0,0.15613087244331839
32,3,2,0.05230450630187988,0.14667367935180664,0.3110496997833252,0.011190652847290039,0.25078606605529785,1778.225152,1778.225152,371.0,1.0,0.00902044129371643
32,3,3,0.04905056953430176,0.1625361442565918,0.32526493072509766,0.009398937225341797,0.3496060371398926,1783.140352,1783.140352,371.0,0.0,0.009432682991027832
32,3,4,0.05540323257446289,0.131087064743042,0.29180359840393066,0.0099334716796875,0.2131352424621582,1785.106432,1785.106432,371.0,0.0,0.008489660941064356
32,3,5,0.0792994499206543,0.13655829429626465,0.32788777351379395,0.008634090423583984,0.18706202507019043,1786.28608,1786.28608,371.0,0.0,0.009539484910666942
32,3,6,0.07244634628295898,0.13425278663635254,0.2807581424713135,0.00953221321105957,0.3197751045227051,1787.26912,1787.26912,371.0,0.0,0.00819755284736554
32,3,7,0.059242963790893555,0.11530852317810059,0.2867300510406494,0.007552146911621094,0.2718169689178467,1788.25216,1788.25216,371.0,0.0,0.008431655563414098
32,3,8,0.15797972679138184,0.12550950050354004,0.3033161163330078,0.007928133010864258,0.2710914611816406,1788.448768,1788.448768,371.0,0.0,0.008856198688348135
32,3,9,0.07669711112976074,0.12962555885314941,0.29821324348449707,0.0064661502838134766,0.2424793243408203,1789.431808,1789.431808,371.0,0.0,0.008704099044203757
32,3,10,0.10429644584655762,0.1334223747253418,0.3318641185760498,0.007269859313964844,0.22077322006225586,1790.021632,1790.021632,371.0,0.0,0.009689740878840288
32,3,11,0.13699126243591309,0.13312602043151855,0.3206362724304199,0.008400678634643555,0.1663970947265625,1790.611456,1790.611456,371.0,0.0,0.009358571201562882
32,3,12,0.11312651634216309,0.13700389862060547,0.32210540771484375,0.0068514347076416016,0.35167837142944336,1791.20128,1791.20128,371.0,0.0,0.009438359498977662
32,3,13,0.052408456802368164,0.13946008682250977,0.31061291694641113,0.008323431015014648,0.3074510097503662,1792.18432,1792.18432,371.0,0.0,0.009101605576773484
32,3,14,0.11029481887817383,0.1264054775238037,0.2988579273223877,0.007292985916137695,0.1541903018951416,1792.18432,1792.18432,371.0,0.0,0.00875715989122788
32,3,15,0.05505514144897461,0.12603282928466797,0.2904033660888672,0.006806135177612305,0.30875539779663086,1792.970752,1792.970752,371.0,0.0,0.008539673984050752
32,3,16,0.05070900917053223,0.13292288780212402,0.31011438369750977,0.008354902267456055,0.1570878028869629,1792.970752,1792.970752,371.0,1.0,0.009119301095604897
32,3,17,0.0590367317199707,0.1436014175415039,0.29810357093811035,0.006475687026977539,0.1541917324066162,1793.363968,1793.363968,371.0,0.0,0.008766108132898806
32,3,18,0.11500191688537598,0.13705658912658691,0.31410956382751465,0.007494688034057617,0.303985595703125,1793.560576,1793.560576,371.0,0.0,0.009236784361302852
32,3,19,0.10795712471008301,0.13956379890441895,0.30168843269348145,0.008003711700439453,0.3025193214416504,1794.1504,1794.1504,371.0,0.0,0.008871525473892689
32,3,20,0.08033585548400879,0.12941718101501465,0.3011922836303711,0.007081270217895508,0.2896602153778076,1794.740224,1794.740224,371.0,0.0,0.008885172367095946
32,3,21,0.1042790412902832,0.12194037437438965,0.28720903396606445,0.008294105529785156,0.21959185600280762,1795.330048,1795.330048,371.0,0.0,0.008472666501998901
32,3,22,0.05529356002807617,0.1301116943359375,0.2933204174041748,0.007531166076660156,0.2330636978149414,1795.526656,1795.526656,371.0,0.0,0.008652952313423157
32,3,23,0.12327218055725098,0.11570382118225098,0.3999176025390625,0.006697177886962891,0.30825376510620117,1795.919872,1795.919872,371.0,0.0,0.012114170710245767
32,3,24,0.05795931816101074,0.15212488174438477,0.29672884941101074,0.008272886276245117,0.25586390495300293,1795.919872,1795.919872,371.0,0.0,0.008784410312771797
32,3,25,0.07324624061584473,0.146026611328125,0.3260984420776367,0.0075244903564453125,0.30347132682800293,1796.313088,1796.313088,371.0,0.0,0.009619904041290284
32,3,26,0.15961861610412598,0.13329410552978516,0.34485673904418945,0.009004831314086914,0.29345011711120605,1796.509696,1796.509696,371.0,0.0,0.01020919637878736
32,3,27,0.05941653251647949,0.15156793594360352,0.3019568920135498,0.007918357849121094,0.2939879894256592,1797.09952,1797.09952,371.0,0.0,0.008939182157317798
32,3,28,0.10495996475219727,0.15186667442321777,0.2985801696777344,0.015517950057983398,0.34613943099975586,1797.296128,1797.296128,371.0,0.0,0.008839217106501263
32,3,29,0.053934335708618164,0.14732885360717773,0.2941555976867676,0.006674766540527344,0.20752811431884766,1797.492736,1797.492736,371.0,0.0,0.00873580842713515
32,3,30,0.13062047958374023,0.134230375289917,0.29479146003723145,0.008888006210327148,0.3021368980407715,1797.689344,1797.689344,371.0,0.0,0.008751621469855309
64,3,1,0.05186891555786133,4.385479927062988,4.293437480926514,7.383679151535034,0.3449974060058594,1887.875072,1887.875072,411.0,0.0,0.06473698701709509
64,3,2,0.053591251373291016,0.1927783489227295,0.386934757232666,0.009737014770507812,0.15666723251342773,2325.34016,2325.34016,411.0,0.0,0.006061977863311767
64,3,3,0.048666954040527344,0.1805119514465332,0.3743882179260254,0.012657880783081055,0.15288519859313965,2328.092672,2328.092672,411.0,0.0,0.006387998968362808
